Saint-Cirgues-sur-Couze;63330;;1,54;351 (2017);228;CA Agglo Pays d'Issoire;
Saint-Étienne-sur-Usson;63340;;15,58;276 (2017);18;CA Agglo Pays d'Issoire;
Saint-Floret;63342;;12,16;251 (2017);21;CA Agglo Pays d'Issoire;
Saint-Genès-la-Tourette;63348;;18,49;180 (2017);9,7;CA Agglo Pays d'Issoire;
Saint-Germain-Lembron;63352;Lembronnais;15,7;1 980 (2017);126;CA Agglo Pays d'Issoire;
Saint-Gervazy;63356;Saint-Gervaziens;14,23;329 (2017);23;CA Agglo Pays d'Issoire;
Saint-Hérent;63357;;12,79;114 (2017);8,9;CA Agglo Pays d'Issoire;
Saint-Jean-en-Val;63366;Jeanvalaisiens;12,09;354 (2017);29;CA Agglo Pays d'Issoire;
Saint-Jean-Saint-Gervais;63367;;14,39;124 (2017);8,6;CA Agglo Pays d'Issoire;
Saint-Martin-des-Plains;63375;Saint-Martinois;3,87;155 (2017);40;CA Agglo Pays d'Issoire;
Saint-Martin-d'Ollières;63376;;14,47;150 (2017);10;CA Agglo Pays d'Issoire;
Saint-Quentin-sur-Sauxillanges;63389;Quentinois;8,25;112 (2017);14;CA Agglo Pays d'Issoire;
Saint-Rémy-de-Chargnat;63392;;6,21;572 (2017);92;CA Agglo Pays d'Issoire;
Saint-Vincent;63403;;5,84;411 (2017);70;CA Agglo Pays d'Issoire;
Saint-Yvoine;63404;Saint-Ygognaires;8,89;595 (2017);67;CA Agglo Pays d'Issoire;
Saurier;63409;;8,36;270 (2017);32;CA Agglo Pays d'Issoire;
Sauvagnat-Sainte-Marthe;63411;;6,41;481 (2017);75;CA Agglo Pays d'Issoire;
Sauxillanges;63415;Sauxillangeois;24,9;1 255 (2017);50;CA Agglo Pays d'Issoire;
Solignat;63422;Solignatois;11,07;497 (2017);45;CA Agglo Pays d'Issoire;
Sugères;63423;Sugeriens;20,64;605 (2017);29;CA Agglo Pays d'Issoire;
Ternant-les-Eaux;63429;;3,59;37 (2017);10;CA Agglo Pays d'Issoire;
Tourzel-Ronzières;63435;Tourzelois;11,77;246 (2017);21;CA Agglo Pays d'Issoire;
Usson;63439;Ussonnais;5,43;286 (2017);53;CA Agglo Pays d'Issoire;
Valz-sous-Châteauneuf;63442;Castelvalzois;5,14;51 (2017);9,9;CA Agglo Pays d'Issoire;
Varennes-sur-Usson;63444;;6,15;285 (2017);46;CA Agglo Pays d'Issoire;
Le Vernet-Chaméane;63448;;46,01;808 (2017);18;CA Agglo Pays d'Issoire;
Verrières;63452;;3,28;71 (2017);22;CA Agglo Pays d'Issoire;
Vichel;63456;Vichelois;5,71;352 (2017);62;CA Agglo Pays d'Issoire;
Villeneuve;63458;;4,23;161 (2017);38;CA Agglo Pays d'Issoire;
Vodable;63466;Vodablois;11,68;196 (2017);17;CA Agglo Pays d'Issoire;
Veyre-Monton;63455;Montonnais;12,11;3 542 (2017);292;CC Mond'Arverne;
Authezat;63021;Authezatois;5,79;679 (2017);117;CC Mond'Arverne;
Aydat;63026;Aydatois;50,22;2 373 (2017);47;CC Mond'Arverne;
Busséol;63059;Busséolais;5,68;218 (2017);38;CC Mond'Arverne;
Chanonat;63084;Chanonatois;12,7;1 685 (2017);133;CC Mond'Arverne;
Corent;63120;Corentais;2,68;747 (2017);279;CC Mond'Arverne;
Cournols;63123;Cournolais;10,76;242 (2017);22;CC Mond'Arverne;
Le Crest;63126;Crestois;6,84;1 267 (2017);185;CC Mond'Arverne;
Laps;63188;Lapsois;7,09;594 (2017);84;CC Mond'Arverne;
Manglieu;63205;Manglioquais;21,09;468 (2017);22;CC Mond'Arverne;
Les Martres-de-Veyre;63214;Martrois;9,28;3 976 (2017);428;CC Mond'Arverne;
Mirefleurs;63227;Mirefleuriens;9,05;2 436 (2017);269;CC Mond'Arverne;
Olloix;63259;Olloisiens;11,92;315 (2017);26;CC Mond'Arverne;
Orcet;63262;Orcetois;6;2 669 (2017);445;CC Mond'Arverne;
Pignols;63280;;9,29;338 (2017);36;CC Mond'Arverne;
La Roche-Blanche;63302;La roche-blanchois;11,6;3 422 (2017);295;CC Mond'Arverne;
La Roche-Noire;63306;Rocanigrains;3,07;618 (2017);201;CC Mond'Arverne;
Saint-Amant-Tallende;63315;Saint-Amantois;4,97;1 743 (2017);351;CC Mond'Arverne;
Saint-Georges-sur-Allier;63350;Saint-Georgeois;9,42;1 250 (2017);133;CC Mond'Arverne;
Saint-Maurice;63378;Mauriciens;5,4;869 (2017);161;CC Mond'Arverne;
Saint-Sandoux;63395;Sandoliens;9,84;955 (2017);97;CC Mond'Arverne;
Saint-Saturnin;63396;Saturninois;16,86;1 172 (2017);70;CC Mond'Arverne;
Sallèdes;63405;Salledois;18,81;588 (2017);31;CC Mond'Arverne;
La Sauvetat;63413;Sauvetatois;7,98;720 (2017);90;CC Mond'Arverne;
Tallende;63425;Tallendais;5,99;1 521 (2017);254;CC Mond'Arverne;
Vic-le-Comte;63457;Vicomtois;18,09;5 197 (2017);287;CC Mond'Arverne;
Yronde-et-Buron;63472;Yrondois;14,79;648 (2017);44;
Thiers;63430;Thiernois;44,49;11 847 (2017);266;CC Thiers Dore et Montagne;
Arconsat;63008;Arconsatois;22,63;604 (2017);27;CC Thiers Dore et Montagne;
Aubusson-d'Auvergne;63015;;6,79;261 (2017);38;CC Thiers Dore et Montagne;
Augerolles;63016;Augerollais;33,01;888 (2017);27;CC Thiers Dore et Montagne;
Celles-sur-Durolle;63066;;38,9;1 738 (2017);45;CC Thiers Dore et Montagne;
Chabreloche;63072;Chabrelochois;9,61;1 220 (2017);127;CC Thiers Dore et Montagne;
Charnat;63095;Charnatois;5,42;210 (2017);39;CC Thiers Dore et Montagne;
Châteldon;63102;Châteldonnais;28,43;773 (2017);27;CC Thiers Dore et Montagne;
Courpière;63125;;31,82;4 050 (2017);127;CC Thiers Dore et Montagne;
Dorat;63138;Dorachons;17,26;705 (2017);41;CC Thiers Dore et Montagne;
Escoutoux;63151;;27,4;1 348 (2017);49;CC Thiers Dore et Montagne;
Lachaux;63184;Chaulards;22,27;280 (2017);13;CC Thiers Dore et Montagne;
La Monnerie-le-Montel;63231;Monnerinois;4,65;1 722 (2017);370;CC Thiers Dore et Montagne;
Néronde-sur-Dore;63249;;8,93;514 (2017);58;CC Thiers Dore et Montagne;
Noalhat;63253;Noalhatois;5,13;247 (2017);48;CC Thiers Dore et Montagne;
Olmet;63260;Olmetois;15,54;165 (2017);11;CC Thiers Dore et Montagne;
Palladuc;63267;Palladucois;13,35;549 (2017);41;CC Thiers Dore et Montagne;
Paslières;63271;Paslièrois;27,77;1 513 (2017);54;CC Thiers Dore et Montagne;
Puy-Guillaume;63291;Puy-Guillaumois;25,02;2 752 (2017);110;CC Thiers Dore et Montagne;
La Renaudie;63298;Renaudiens;18,02;123 (2017);6,8;CC Thiers Dore et Montagne;
Ris;63301;Risais;15,76;765 (2017);49;CC Thiers Dore et Montagne;
Sainte-Agathe;63310;Sainte-Agathois;18,31;180 (2017);9,8;CC Thiers Dore et Montagne;
Saint-Flour-l'Étang;63343;Sanflorains;9,45;285 (2017);30;CC Thiers Dore et Montagne;
Saint-Rémy-sur-Durolle;63393;Sanrémois;18,17;1 741 (2017);96;CC Thiers Dore et Montagne;
Saint-Victor-Montvianeix;63402;Saint-Victoriens;45,18;249 (2017);5,5;CC Thiers Dore et Montagne;
Sauviat;63414;Sauviatois;15,62;542 (2017);35;CC Thiers Dore et Montagne;
Sermentizon;63418;Sermentizonais;18,41;576 (2017);31;CC Thiers Dore et Montagne;
Viscomtat;63463;Viscomtois;25,44;530 (2017);21;CC Thiers Dore et Montagne;
Vollore-Montagne;63468;Vollorois;21,22;305 (2017);14;CC Thiers Dore et Montagne;
Vollore-Ville;63469;;30,41;743 (2017);24
Ambert;63003;Ambertois;60,48;6 671 (2017);110;CC Ambert Livradois Forez;
Aix-la-Fayette;63002;Aixois;13;93 (2017);7,2;CC Ambert Livradois Forez;
Arlanc;63010;Arlancois;32,19;1 892 (2017);59;CC Ambert Livradois Forez;
Auzelles;63023;Auzellois;33,42;364 (2017);11;CC Ambert Livradois Forez;
Baffie;63027;Baffinois;10,62;112 (2017);11;CC Ambert Livradois Forez;
Bertignat;63037;Bertignatois;24,31;455 (2017);19;CC Ambert Livradois Forez;
Beurières;63039;Beuriérois;16,27;297 (2017);18;CC Ambert Livradois Forez;
